ID,BOX,COMBINATION,PAIR,LAT,LON,RFID,SEX
J994,Z02,RZWYM,0,50.198435,-5.168694,010C117102,NA
J978,Z02,OWYM,0,50.198435,-5.168694,010C10C51C,NA
J977,Z02,SWYM,0,50.198435,-5.168694,010C10BB1F,NA
J1301,Z03,GWOZM,0,50.198334,-5.169241,010C1127C0,NA
J1298,Z03,BWOZM,0,50.198334,-5.169241,010C118C66,NA
J1300,Z03,RWOZM,0,50.198334,-5.169241,010C11774D,NA
J1131B,Z05,BBYZM,0,50.198564,-5.168397,010C11809F,NA
J1132,Z05,WBYZM,0,50.198564,-5.168397,010C11169F,NA
J1215,Z05,SBYZM,0,50.198564,-5.168397,010C116E93,NA
J1061,Z06,RGYZM,0,50.198594,-5.16857,010C10D7FB,NA
J1089,Z06,GGYZM,0,50.198594,-5.16857,010C115108,NA
J995,Z06,YGYZM,0,50.198594,-5.16857,010C11B642,NA
J1062,Z07,OVYM,0,50.198665,-5.168653,010C10B2AC,NA
J1090,Z07,RZVYM,0,50.198665,-5.168653,010C110313,NA
J996,Z07,SVYM,0,50.198665,-5.168653,010C119D23,NA
J990,Z07,WWYM,0,50.198665,-5.168653,010C10C177,NA
J1279,Z13,WGOZM,0,50.198888,-5.169691,010C10B498,NA
J1256,Z13,YGOZM,0,50.198888,-5.169691,010C10EFE6,NA
J1092,Z14,GVYM,0,50.198896,-5.169432,010C11B8F2,NA
J1066,Z14,RVYM,0,50.198896,-5.169432,010C1169C0,NA
J1065,Z14,GZPYM,0,50.198896,-5.169432,010C10BEA4,NA
J979,Z15,ORYM,0,50.198971,-5.169436,010C10F8FF,NA
J998,Z15,GGYM,0,50.198971,-5.169436,010C10C17A,NA
J980,Z15,RGYM,0,50.198971,-5.169436,010C119919,NA
J1152,Z16,BRYZM,0,50.199084,-5.169429,010C10D045,NA
J1244,Z16,WRYZM,0,50.199084,-5.169429,010C119CA9,NA
J1245,Z17,ORYZM,0,50.199148,-5.169564,010C1103E5,NA
J1153,Z17,SRYZM,0,50.199148,-5.169564,010C11BCB8,NA
J1154,Z18,RZBYZM,0,50.198782,-5.169697,010C1133E0,NA
J1093,Z18,OBYZM,0,50.198782,-5.169697,010C1145F0,NA
J1069,Z19,BZYWM,0,50.198722,-5.169692,010C113003,NA
J1220,Z20,GZGRM,0,50.198682,-5.169751,010C10C3A2,NA
J1155,Z20,GZRRM,0,50.198682,-5.169751,010C11BF7B,NA
J1072,Z23,WBYM,0,50.198532,-5.169905,010C10E2DB,NA
J992,Z23,BBYM,0,50.198532,-5.169905,010C10FB86,NA
J1096,Z24,WVYM,0,50.198473,-5.169863,010C1169BD,NA
J1075,Z24,BVYM,0,50.198473,-5.169863,010C115FFA,NA
J1074,Z24,YVYM,0,50.198473,-5.169863,010C11809B,NA
J1259,Z25,RZOYM,0,50.19841002,-5.169931719,010C10B917,NA
J1248,Z25,OOYM,0,50.19841002,-5.169931719,010C10EFE4,NA
J1076,Z26,RBYM,0,50.198356,-5.170053,010C117CCF,NA
J1077,Z26,GBYM,0,50.198356,-5.170053,010C1128A8,NA
J1097,Z26,YBYM,0,50.198356,-5.170053,010C111508,NA
J1079,Z27,SBRM,0,50.19838,-5.170642,010C10B53B,NA
J1078,Z27,OGRM,0,50.19838,-5.170642,010C10A47E,NA
J1001,Z27,GYBM,0,50.19838,-5.170642,010C111B78,NA
J1140,Z28,ROYM,0,50.198468,-5.170662,010C11AA44,NA
J1222,Z28,GOYM,0,50.198468,-5.170662,010C10CA45,NA
J1260,Z28,BOYM,0,50.198468,-5.170662,010C119C84,NA
J1157,Z28,YOYM,0,50.198468,-5.170662,010C10DBD6,NA
J1141,Z29,WOYM,0,50.198564,-5.17068,010C10E3B0,NA
J1158,Z29,SOYM,0,50.198564,-5.17068,010C119E83,NA
J1224,Z30,YWYZM,0,50.198823,-5.170664,010C10EFE7,NA
J1159,Z30,GWYZM,0,50.198823,-5.170664,010C115FEB,NA
J1142,Z30,BZBYZM,0,50.198823,-5.170664,010C11B4DB,NA
J1261,Z33,RGOZM,0,50.199129,-5.170824,010C11169C,NA
J1160,Z33,RZRYZM,0,50.199129,-5.170824,010C117EF0,NA
J1292,Z37,WWOZM,0,50.19794211,-5.168534885,010C11150A,NA
J1291,Z37,YWOZM,0,50.19794211,-5.168534885,010C10D985,NA
J1080,Z38,BGYZM,0,50.19780735,-5.168733441,010C1170FC,NA
J1098,Z38,SGYZM,0,50.19780735,-5.168733441,010C11A446,NA
J1162,Z41,BGOZM,0,50.19953541,-5.169505722,010C100042,NA
J1144,Z41,GGOZM,0,50.19953541,-5.169505722,010C1157B6,NA
J1002,Z43,SGYM,0,50.20034028,-5.170551314,010C109B7E,NA
J1081,Z43,OGYM,0,50.20034028,-5.170551314,010C10C981,NA
J1146,Z44,BWYZM,0,50.1996856,-5.17118686,010C10C3A3,NA
J1163,Z44,WWYZM,0,50.1996856,-5.17118686,010C114E7F,NA
J1303,Z45,OWOZM,0,50.19982428,-5.171222124,010C10C804,NA
